Method,Trial,Success,HittingTime,FinalEnergy,WallClockTime
SA,1,false,NaN,-494.8999999999995,0.008999109268188477
SA,2,false,NaN,-494.8999999999995,0.007972002029418945
SA,3,false,NaN,-494.8999999999995,0.007944107055664062
SA,4,false,NaN,-494.8999999999995,0.00799703598022461
SA,5,true,6539,-495.0999999999995,0.007975101470947266
SA,6,false,NaN,-494.8999999999995,0.007965803146362305
SA,7,true,7661,-495.09999999999945,0.00796198844909668
SA,8,true,7080,-495.09999999999945,0.007936954498291016
SA,9,true,8969,-495.0999999999995,0.00797891616821289
SA,10,false,NaN,-494.8999999999995,0.008002042770385742
SA,11,false,NaN,-494.8999999999995,0.007977008819580078
SA,12,false,NaN,-494.8999999999995,0.00796198844909668
SA,13,true,8237,-495.09999999999945,0.007978200912475586
SA,14,false,NaN,-494.8999999999995,0.007998943328857422
SA,15,false,NaN,-494.89999999999947,0.008020162582397461
SA,16,true,7214,-495.0999999999995,0.008001089096069336
SA,17,true,8242,-495.09999999999945,0.007992982864379883
SA,18,false,NaN,-494.8999999999996,0.00796818733215332
SA,19,false,NaN,-494.8999999999995,0.00796198844909668
SA,20,true,6977,-495.09999999999945,0.00799703598022461
ACO,1,false,NaN,-314.9199999999995,0.23949408531188965
ACO,2,false,NaN,-331.2820000000006,0.22640013694763184
ACO,3,false,NaN,-331.2820000000005,0.22545289993286133
ACO,4,false,NaN,-331.1180000000007,0.28917694091796875
ACO,5,false,NaN,-347.8839999999997,0.22620797157287598
ACO,6,false,NaN,-347.88399999999973,0.22531700134277344
ACO,7,false,NaN,-331.11800000000073,0.22846698760986328
ACO,8,false,NaN,-364.886,0.22413110733032227
ACO,9,false,NaN,-347.7159999999997,0.2288498878479004
ACO,10,false,NaN,-364.8859999999999,0.22533297538757324
ACO,11,false,NaN,-364.886,0.2246417999267578
ACO,12,false,NaN,-347.88399999999973,0.22967290878295898
ACO,13,false,NaN,-347.7159999999997,0.23029685020446777
ACO,14,false,NaN,-382.2880000000005,0.2231900691986084
ACO,15,false,NaN,-347.71599999999967,0.22627615928649902
ACO,16,false,NaN,-347.71599999999984,0.22632193565368652
ACO,17,false,NaN,-382.28800000000064,0.22305703163146973
ACO,18,false,NaN,-331.11800000000073,0.22680187225341797
ACO,19,false,NaN,-400.0899999999993,0.2236158847808838
ACO,20,false,NaN,-364.88599999999997,0.22346115112304688
