tau,alpha_target,magnetization
100.0,0.850,0.295965
100.0,0.850,0.018904
100.0,0.850,0.132392
100.0,0.850,0.132351
100.0,0.850,0.139054
100.0,0.850,0.028112
100.0,0.850,0.107931
100.0,0.850,-0.130665
100.0,0.850,0.264672
100.0,0.850,-0.059582
100.0,0.850,-0.151908
100.0,0.850,-0.052262
100.0,0.850,0.196082
100.0,0.850,0.267958
100.0,0.850,0.075686
100.0,0.850,0.263664
100.0,0.850,0.046962
100.0,0.850,0.267037
100.0,0.850,0.152686
100.0,0.850,0.020290
100.0,0.850,0.164837
100.0,0.850,0.182712
100.0,0.850,-0.031213
100.0,0.850,-0.044859
100.0,0.850,0.295239
100.0,0.850,0.083013
100.0,0.850,-0.010598
100.0,0.850,0.202760
100.0,0.850,0.140475
100.0,0.850,-0.205265
100.0,0.850,0.083320
100.0,0.850,-0.171423
100.0,0.850,0.039041
100.0,0.850,-0.047584
100.0,0.850,0.097795
100.0,0.850,-0.153136
100.0,0.850,0.243969
100.0,0.850,0.101621
100.0,0.850,-0.011612
100.0,0.850,-0.039141
100.0,0.850,0.178184
100.0,0.850,0.244916
100.0,0.850,0.197739
100.0,0.850,-0.030035
100.0,0.850,0.351681
100.0,0.850,-0.193650
100.0,0.850,0.035507
100.0,0.850,-0.114624
100.0,0.850,0.157829
100.0,0.850,0.255897
100.0,0.850,0.004299
100.0,0.850,0.061158
100.0,0.850,0.043277
100.0,0.850,0.212577
100.0,0.850,0.117145
100.0,0.850,0.289655
100.0,0.850,0.064368
100.0,0.850,0.423487
100.0,0.850,0.167986
100.0,0.850,0.076726
100.0,0.850,0.083584
100.0,0.850,0.077992
100.0,0.850,0.022320
100.0,0.850,0.233692
100.0,0.850,0.032234
100.0,0.850,0.308019
100.0,0.850,0.008686
100.0,0.850,0.174917
100.0,0.850,-0.139343
100.0,0.850,0.211466
100.0,0.850,-0.066576
100.0,0.850,0.129213
100.0,0.850,0.053846
100.0,0.850,0.089556
100.0,0.850,0.101300
100.0,0.850,0.018434
100.0,0.850,0.137017
100.0,0.850,-0.004531
100.0,0.850,0.284400
100.0,0.850,0.087591
100.0,0.850,0.224986
100.0,0.850,0.150583
100.0,0.850,0.401291
100.0,0.850,0.030425
100.0,0.850,0.094299
100.0,0.850,-0.017658
100.0,0.850,-0.100977
100.0,0.850,0.193993
100.0,0.850,-0.000429
100.0,0.850,-0.202170
100.0,0.850,0.117774
100.0,0.850,0.212985
100.0,0.850,0.142157
100.0,0.850,-0.038655
100.0,0.850,0.142321
100.0,0.850,0.126184
100.0,0.850,-0.106094
100.0,0.850,-0.042137
100.0,0.850,0.162173
100.0,0.850,-0.008440
100.0,0.903,0.055689
100.0,0.903,0.476411
100.0,0.903,0.118611
100.0,0.903,0.259247
100.0,0.903,0.455680
100.0,0.903,0.553484
100.0,0.903,0.279105
100.0,0.903,0.441862
100.0,0.903,0.342715
100.0,0.903,0.119821
100.0,0.903,0.483605
100.0,0.903,0.503161
100.0,0.903,0.267261
100.0,0.903,-0.018383
100.0,0.903,0.082148
100.0,0.903,0.053051
100.0,0.903,0.104829
100.0,0.903,0.153487
100.0,0.903,0.120332
100.0,0.903,0.145903
100.0,0.903,0.467900
100.0,0.903,0.408111
100.0,0.903,0.276636
100.0,0.903,0.366864
100.0,0.903,0.593137
100.0,0.903,0.295410
100.0,0.903,0.110878
100.0,0.903,0.254971
100.0,0.903,0.185785
100.0,0.903,0.468267
100.0,0.903,0.515266
100.0,0.903,0.034189
100.0,0.903,0.465806
100.0,0.903,0.236907
100.0,0.903,0.261387
100.0,0.903,0.133401
100.0,0.903,0.233082
100.0,0.903,0.511981
100.0,0.903,0.397091
100.0,0.903,0.407328
100.0,0.903,0.146537
100.0,0.903,0.238024
100.0,0.903,0.521036
100.0,0.903,0.607476
100.0,0.903,0.553875
100.0,0.903,0.345319
100.0,0.903,0.320828
100.0,0.903,0.366579
100.0,0.903,0.400661
100.0,0.903,0.387862
100.0,0.903,0.592596
100.0,0.903,-0.053687
100.0,0.903,0.547593
100.0,0.903,0.295245
100.0,0.903,0.313694
100.0,0.903,0.143290
100.0,0.903,0.513076
100.0,0.903,0.341232
100.0,0.903,-0.192120
100.0,0.903,0.221964
100.0,0.903,0.681295
100.0,0.903,0.135612
100.0,0.903,-0.218246
100.0,0.903,0.141721
100.0,0.903,0.188396
100.0,0.903,0.297639
100.0,0.903,0.211144
100.0,0.903,0.360835
100.0,0.903,0.019295
100.0,0.903,0.168538
100.0,0.903,0.205186
100.0,0.903,0.476520
100.0,0.903,0.096206
100.0,0.903,0.652610
100.0,0.903,0.599591
100.0,0.903,0.149303
100.0,0.903,0.414427
100.0,0.903,0.473068
100.0,0.903,-0.026310
100.0,0.903,0.312765
100.0,0.903,0.085867
100.0,0.903,0.185466
100.0,0.903,0.404883
100.0,0.903,-0.054650
100.0,0.903,0.307830
100.0,0.903,0.086585
100.0,0.903,0.155047
100.0,0.903,0.170309
100.0,0.903,-0.006425
100.0,0.903,0.415729
100.0,0.903,0.388422
100.0,0.903,0.278830
100.0,0.903,0.263337
100.0,0.903,0.350790
100.0,0.903,0.056148
100.0,0.903,0.389379
100.0,0.903,-0.016035
100.0,0.903,-0.031086
100.0,0.903,0.117829
100.0,0.903,0.316017
100.0,0.950,0.854593
100.0,0.950,0.941576
100.0,0.950,0.855204
100.0,0.950,0.886190
100.0,0.950,0.845867
100.0,0.950,0.698822
100.0,0.950,0.887972
100.0,0.950,0.821528
100.0,0.950,0.626562
100.0,0.950,0.903645
100.0,0.950,0.889436
100.0,0.950,0.914175
100.0,0.950,0.744950
100.0,0.950,0.694218
100.0,0.950,0.925684
100.0,0.950,0.879154
100.0,0.950,0.847754
100.0,0.950,0.871531
100.0,0.950,0.868955
100.0,0.950,0.906471
100.0,0.950,0.549093
100.0,0.950,0.931994
100.0,0.950,0.930329
100.0,0.950,0.831739
100.0,0.950,0.830641
