tau,alpha_target,magnetization
100.0,0.850,0.000000
100.0,0.909,0.360000
100.0,0.950,0.660000
100.0,0.850,0.060000
100.0,0.909,0.100000
100.0,0.950,0.780000
100.0,0.850,0.020000
100.0,0.909,0.380000
100.0,0.950,0.660000
100.0,0.850,0.140000
100.0,0.909,0.240000
100.0,0.950,0.640000
100.0,0.850,0.160000
100.0,0.909,0.060000
100.0,0.950,0.700000
100.0,0.850,-0.100000
100.0,0.909,0.160000
100.0,0.950,0.540000
100.0,0.850,-0.120000
100.0,0.909,0.100000
100.0,0.950,0.600000
100.0,0.850,0.060000
100.0,0.909,-0.040000
100.0,0.950,0.640000
100.0,0.850,-0.060000
100.0,0.909,0.020000
100.0,0.950,0.660000
100.0,0.850,0.060000
100.0,0.909,0.120000
100.0,0.950,0.600000
100.0,0.850,0.220000
100.0,0.909,0.140000
100.0,0.950,0.580000
100.0,0.850,-0.100000
100.0,0.909,0.380000
100.0,0.950,0.600000
100.0,0.850,0.140000
100.0,0.909,0.020000
100.0,0.950,0.740000
100.0,0.850,0.120000
100.0,0.909,0.260000
100.0,0.950,0.600000
100.0,0.850,0.020000
100.0,0.909,-0.020000
100.0,0.950,-0.640000
100.0,0.850,0.020000
100.0,0.909,0.000000
100.0,0.950,0.620000
100.0,0.850,-0.160000
100.0,0.909,-0.140000
100.0,0.950,0.760000
100.0,0.850,0.040000
100.0,0.909,0.180000
100.0,0.950,0.680000
100.0,0.850,-0.120000
100.0,0.909,-0.240000
100.0,0.950,-0.640000
100.0,0.850,0.120000
100.0,0.909,0.140000
100.0,0.950,0.700000
100.0,0.850,0.260000
100.0,0.909,0.200000
100.0,0.950,0.740000
100.0,0.850,-0.080000
100.0,0.909,0.280000
100.0,0.950,0.760000
100.0,0.850,0.140000
100.0,0.909,0.280000
100.0,0.950,0.620000
100.0,0.850,0.140000
100.0,0.909,0.140000
100.0,0.950,0.740000
100.0,0.850,0.160000
100.0,0.909,0.020000
100.0,0.950,0.640000
100.0,0.850,0.020000
100.0,0.909,-0.080000
100.0,0.950,0.660000
100.0,0.850,0.080000
100.0,0.909,0.140000
100.0,0.950,0.720000
100.0,0.850,-0.100000
100.0,0.909,0.140000
100.0,0.950,0.620000
100.0,0.850,-0.160000
100.0,0.909,-0.060000
100.0,0.950,-0.680000
100.0,0.850,-0.160000
100.0,0.909,0.180000
100.0,0.950,0.680000
100.0,0.850,-0.220000
100.0,0.909,0.000000
100.0,0.950,0.700000
100.0,0.850,0.040000
100.0,0.909,0.180000
100.0,0.950,0.580000
100.0,0.850,0.200000
