schedule,tau,alpha,success_prob
Fast,100.0,0.700,0.0000
Fast,100.0,0.705,0.0000
Fast,100.0,0.710,0.0000
Fast,100.0,0.715,0.0000
Fast,100.0,0.720,0.0000
Fast,100.0,0.725,0.0000
Fast,100.0,0.730,0.0000
Fast,100.0,0.735,0.0000
Fast,100.0,0.740,0.0000
Fast,100.0,0.745,0.0000
Fast,100.0,0.750,0.0000
Fast,100.0,0.755,0.0000
Fast,100.0,0.760,0.0000
Fast,100.0,0.765,0.0000
Fast,100.0,0.770,0.0000
Fast,100.0,0.775,0.0000
Fast,100.0,0.780,0.0000
Fast,100.0,0.785,0.0000
Fast,100.0,0.790,0.0000
Fast,100.0,0.795,0.0000
Fast,100.0,0.800,0.0000
Fast,100.0,0.805,0.0000
Fast,100.0,0.810,0.0000
Fast,100.0,0.815,0.0000
Fast,100.0,0.820,0.0000
Fast,100.0,0.825,0.0000
Fast,100.0,0.830,0.0000
Fast,100.0,0.835,0.0000
Fast,100.0,0.840,0.0000
Fast,100.0,0.845,0.0000
Fast,100.0,0.850,0.0000
Fast,100.0,0.855,0.0000
Fast,100.0,0.860,0.0000
Fast,100.0,0.865,0.0000
Fast,100.0,0.870,0.0000
Fast,100.0,0.875,0.0000
Fast,100.0,0.880,0.0000
Fast,100.0,0.885,0.0000
Fast,100.0,0.890,0.0000
Fast,100.0,0.895,0.0000
Fast,100.0,0.900,0.0000
Fast,100.0,0.905,0.0000
Fast,100.0,0.910,0.0000
Fast,100.0,0.915,0.0000
Fast,100.0,0.920,0.0000
Fast,100.0,0.925,0.0000
Fast,100.0,0.930,0.0000
Fast,100.0,0.935,0.0000
Fast,100.0,0.940,0.0000
Fast,100.0,0.945,0.0000
Fast,100.0,0.950,0.0000
Fast,100.0,0.955,0.0000
Fast,100.0,0.960,0.0000
Fast,100.0,0.965,0.0020
Fast,100.0,0.970,0.0020
Fast,100.0,0.975,0.0050
Fast,100.0,0.980,0.0090
Fast,100.0,0.985,0.0120
Fast,100.0,0.990,0.0220
Fast,100.0,0.995,0.0250
Fast,100.0,1.000,0.0470
Fast,1000.0,0.700,0.0000
Fast,1000.0,0.705,0.0000
Fast,1000.0,0.710,0.0000
Fast,1000.0,0.715,0.0000
Fast,1000.0,0.720,0.0000
Fast,1000.0,0.725,0.0000
Fast,1000.0,0.730,0.0000
Fast,1000.0,0.735,0.0000
Fast,1000.0,0.740,0.0000
Fast,1000.0,0.745,0.0000
Fast,1000.0,0.750,0.0000
Fast,1000.0,0.755,0.0000
Fast,1000.0,0.760,0.0000
Fast,1000.0,0.765,0.0000
Fast,1000.0,0.770,0.0000
Fast,1000.0,0.775,0.0000
Fast,1000.0,0.780,0.0000
Fast,1000.0,0.785,0.0000
Fast,1000.0,0.790,0.0000
Fast,1000.0,0.795,0.0000
Fast,1000.0,0.800,0.0000
Fast,1000.0,0.805,0.0000
Fast,1000.0,0.810,0.0000
Fast,1000.0,0.815,0.0000
Fast,1000.0,0.820,0.0000
Fast,1000.0,0.825,0.0000
Fast,1000.0,0.830,0.0000
Fast,1000.0,0.835,0.0000
Fast,1000.0,0.840,0.0000
Fast,1000.0,0.845,0.0000
Fast,1000.0,0.850,0.0000
Fast,1000.0,0.855,0.0000
Fast,1000.0,0.860,0.0000
Fast,1000.0,0.865,0.0000
Fast,1000.0,0.870,0.0000
Fast,1000.0,0.875,0.0000
Fast,1000.0,0.880,0.0000
Fast,1000.0,0.885,0.0000
Fast,1000.0,0.890,0.0000
