schedule,tau,alpha,success_prob
Fast,100.0,0.700,0.0000
Fast,100.0,0.710,0.0000
Fast,100.0,0.720,0.0000
Fast,100.0,0.730,0.0000
Fast,100.0,0.740,0.0000
Fast,100.0,0.750,0.0000
Fast,100.0,0.760,0.0000
Fast,100.0,0.770,0.0000
Fast,100.0,0.780,0.0000
Fast,100.0,0.790,0.0000
Fast,100.0,0.800,0.0000
Fast,100.0,0.810,0.0000
Fast,100.0,0.820,0.0000
Fast,100.0,0.830,0.0000
Fast,100.0,0.840,0.0000
Fast,100.0,0.850,0.0000
Fast,100.0,0.860,0.0000
Fast,100.0,0.870,0.0000
Fast,100.0,0.880,0.0000
Fast,100.0,0.890,0.0000
Fast,100.0,0.900,0.0000
Fast,100.0,0.910,0.0000
Fast,100.0,0.920,0.0000
Fast,100.0,0.930,0.0000
Fast,100.0,0.940,0.0000
Fast,100.0,0.950,0.0000
Fast,100.0,0.960,0.0000
Fast,100.0,0.970,0.0000
Fast,100.0,0.980,0.0000
Fast,100.0,0.990,0.0000
Fast,100.0,1.000,0.0000
Fast,1000.0,0.700,0.0000
Fast,1000.0,0.710,0.0000
Fast,1000.0,0.720,0.0000
Fast,1000.0,0.730,0.0000
Fast,1000.0,0.740,0.0000
Fast,1000.0,0.750,0.0000
Fast,1000.0,0.760,0.0000
Fast,1000.0,0.770,0.0000
Fast,1000.0,0.780,0.0000
Fast,1000.0,0.790,0.0000
Fast,1000.0,0.800,0.0000
Fast,1000.0,0.810,0.0000
Fast,1000.0,0.820,0.0000
Fast,1000.0,0.830,0.0000
Fast,1000.0,0.840,0.0000
Fast,1000.0,0.850,0.0000
Fast,1000.0,0.860,0.0000
Fast,1000.0,0.870,0.0000
Fast,1000.0,0.880,0.0000
Fast,1000.0,0.890,0.0000
Fast,1000.0,0.900,0.0000
Fast,1000.0,0.910,0.0000
Fast,1000.0,0.920,0.0000
Fast,1000.0,0.930,0.0000
Fast,1000.0,0.940,0.0000
Fast,1000.0,0.950,0.0000
Fast,1000.0,0.960,0.0000
Fast,1000.0,0.970,0.0000
Fast,1000.0,0.980,0.0000
Fast,1000.0,0.990,0.0000
Fast,1000.0,1.000,0.0000
Slow,100.0,0.700,0.0000
Slow,100.0,0.710,0.0000
Slow,100.0,0.720,0.0000
Slow,100.0,0.730,0.0000
Slow,100.0,0.740,0.0000
Slow,100.0,0.750,0.0000
Slow,100.0,0.760,0.0000
Slow,100.0,0.770,0.0000
Slow,100.0,0.780,0.0000
Slow,100.0,0.790,0.0000
Slow,100.0,0.800,0.0000
Slow,100.0,0.810,0.0000
Slow,100.0,0.820,0.0000
Slow,100.0,0.830,0.0000
Slow,100.0,0.840,0.0000
Slow,100.0,0.850,0.0000
Slow,100.0,0.860,0.0000
Slow,100.0,0.870,0.0000
Slow,100.0,0.880,0.0000
Slow,100.0,0.890,0.0000
Slow,100.0,0.900,0.0000
Slow,100.0,0.910,0.0000
Slow,100.0,0.920,0.0000
Slow,100.0,0.930,0.0000
Slow,100.0,0.940,0.0000
Slow,100.0,0.950,0.0000
Slow,100.0,0.960,0.0000
Slow,100.0,0.970,0.0000
Slow,100.0,0.980,0.0000
Slow,100.0,0.990,0.0200
Slow,100.0,1.000,0.8800
Slow,1000.0,0.700,0.0000
Slow,1000.0,0.710,0.0000
Slow,1000.0,0.720,0.0000
Slow,1000.0,0.730,0.0000
Slow,1000.0,0.740,0.0000
Slow,1000.0,0.750,0.0000
Slow,1000.0,0.760,0.0000
Slow,1000.0,0.770,0.0000
Slow,1000.0,0.780,0.0000
Slow,1000.0,0.790,0.0000
Slow,1000.0,0.800,0.0000
Slow,1000.0,0.810,0.0000
Slow,1000.0,0.820,0.0000
Slow,1000.0,0.830,0.0000
Slow,1000.0,0.840,0.0000
Slow,1000.0,0.850,0.0000
Slow,1000.0,0.860,0.0000
Slow,1000.0,0.870,0.0000
Slow,1000.0,0.880,0.0000
Slow,1000.0,0.890,0.0000
Slow,1000.0,0.900,0.0000
Slow,1000.0,0.910,0.0000
Slow,1000.0,0.920,0.0000
Slow,1000.0,0.930,0.0000
Slow,1000.0,0.940,0.0000
Slow,1000.0,0.950,0.0000
Slow,1000.0,0.960,0.0000
Slow,1000.0,0.970,0.0000
Slow,1000.0,0.980,0.0000
Slow,1000.0,0.990,0.0200
Slow,1000.0,1.000,0.2600
