final,best,alpha
-609.6765747070312,-810.7042846679688,115
-616.2579956054688,-674.30517578125,150
-575.1962280273438,-717.5904541015625,101
-760.5623168945312,-790.9743041992188,335
-712.1312866210938,-825.1884765625,297
-662.9998779296875,-729.4750366210938,132
-627.0379028320312,-740.8416137695312,100
-761.0037231445312,-803.15966796875,94
-783.241943359375,-853.340087890625,98
-694.5767211914062,-731.2264404296875,93
-672.0453491210938,-689.4972534179688,135
-712.804931640625,-819.021728515625,213
-568.5531005859375,-803.4306640625,103
-555.1925659179688,-724.3895263671875,106
-659.0435180664062,-728.1500854492188,112
-521.7986450195312,-676.4769287109375,124
-763.6114501953125,-778.5536499023438,166
-754.1819458007812,-806.5361938476562,186
-740.6054077148438,-811.1636962890625,95
-604.9473876953125,-728.7569580078125,98
