t,M
1,0.0
2,8.935992868694792e-8
3,2.93604203403125e-7
4,9.180718289335156e-7
5,1.3448607716360717e-6
6,2.2265593356115383e-6
7,5.069328576870045e-6
8,4.046470621384369e-6
9,8.551277507843897e-6
10,8.939731110863553e-6
11,1.1129057561717457e-5
12,9.958201028170911e-6
13,1.5482082449473168e-5
14,1.818568915090399e-5
15,2.6747012546890156e-5
16,3.385685586982843e-5
17,3.46147349334064e-5
18,4.2584224711408095e-5
19,3.9779058936488664e-5
20,3.9419075520106434e-5
21,4.652615586683151e-5
22,6.014031185003839e-5
23,7.980854374589826e-5
24,8.269148125005302e-5
25,8.979993767245867e-5
26,0.00010059270267548765
27,9.545900290195368e-5
28,0.00013174213640562428
29,0.00010377350891862832
30,0.00014486415185566232
31,0.00018231952306310763
32,0.0001996243939641888
33,0.00017334501058979533
34,0.00024674715412869235
35,0.00024800747238814543
36,0.0002094373327119439
37,0.0002766861723405785
38,0.0003004035729700302
39,0.00028427484302060915
40,0.00031267223700196884
41,0.0004013242107074528
42,0.00050545399882817
43,0.0004490424971050713
44,0.00041611999715786204
45,0.0005660597335380406
46,0.00045130718708535737
47,0.0005340411699608748
48,0.0006266287213600346
49,0.0006837487114392005
50,0.0006756268055253137
51,0.0008377228996384494
52,0.0008610746784894936
53,0.001143957479077878
54,0.001025404899502902
55,0.0012215092833955513
56,0.001547396685535544
57,0.0013401002260553037
58,0.0013321966437292079
59,0.001073921210291248
60,0.0013835943547114943
61,0.0013444916809864957
62,0.0013753679714864553
63,0.0019174928776743204
64,0.0021123865125597862
65,0.0020295263576307694
66,0.0032377622976789916
67,0.002473742586548791
68,0.0029439241838919226
69,0.002859809806002093
70,0.0035155063946865736
71,0.0035937095551000376
72,0.004191441608220639
73,0.004869963731588351
74,0.005530156612125169
75,0.005888377993306833
76,0.005069806125455446
77,0.007243795851025723
78,0.006639296010725924
79,0.006974937794458141
80,0.009615994617953568
81,0.008026069530683681
82,0.009839719582704623
83,0.008779698013982045
84,0.01270100209338046
85,0.012199176636184946
86,0.01591139779632192
87,0.01704872518960112
88,0.016594205443037382
89,0.014645019140271607
90,0.012619709835916964
91,0.0165953538663998
92,0.011831297541931761
93,0.005997500266565371
94,0.0049377932338714
95,0.005172412148680928
96,0.004134347963496954
97,0.0019267373056424696
98,0.0013588564789559165
99,0.0007909188605541516
100,0.00036793623285185804
101,0.00013078658421230714
