final,best
-1044.2686767578125,-1045.908203125
-999.704833984375,-999.704833984375
-1020.4517822265625,-1020.4517822265625
-1035.7359619140625,-1036.243896484375
-1009.2609252929688,-1009.2609252929688
-1032.313720703125,-1032.313720703125
-977.2164916992188,-977.2164916992188
-976.4171142578125,-978.9959716796875
-1014.2677001953125,-1014.2677001953125
-967.0020141601562,-978.6993408203125
-1000.30029296875,-1007.392578125
-1020.4774780273438,-1022.5372314453125
-1014.0463256835938,-1018.2102661132812
-1017.9298706054688,-1017.9298706054688
-1046.9384765625,-1046.9384765625
-1078.640869140625,-1078.640869140625
-1040.067626953125,-1047.8316650390625
-1083.5440673828125,-1083.5440673828125
-1023.3699340820312,-1023.3699340820312
-1031.875732421875,-1031.875732421875
-1028.87451171875,-1028.87451171875
-985.7960815429688,-985.7960815429688
-974.2786254882812,-981.2559204101562
-992.3745727539062,-992.3745727539062
-965.847412109375,-965.847412109375
-1022.2722778320312,-1022.69580078125
-1053.36865234375,-1053.36865234375
-1019.6680908203125,-1038.077880859375
-1016.0670166015625,-1016.7334594726562
-1002.9379272460938,-1011.2488403320312
-1098.53564453125,-1098.53564453125
-1011.1499633789062,-1011.1499633789062
-1067.31591796875,-1067.31591796875
-1064.4759521484375,-1064.4759521484375
-1019.33984375,-1022.262939453125
-993.584716796875,-995.4781494140625
-1075.9388427734375,-1076.53759765625
-1039.63330078125,-1039.63330078125
-1022.6140747070312,-1022.629150390625
-1045.4442138671875,-1047.1654052734375
-1025.4534912109375,-1030.046875
-1009.8829956054688,-1009.8829956054688
-1032.1934814453125,-1045.179443359375
-993.4396362304688,-1000.50341796875
-1007.8248901367188,-1007.8248901367188
-1073.599365234375,-1073.599365234375
-1035.6925048828125,-1035.7774658203125
-1004.4922485351562,-1004.4922485351562
-1011.9322509765625,-1011.9322509765625
-1055.57080078125,-1055.57080078125
-1037.004638671875,-1037.004638671875
-1077.64404296875,-1077.9866943359375
-1027.7899169921875,-1036.7528076171875
-1028.9619140625,-1028.9619140625
-1036.14111328125,-1036.8289794921875
-1054.3736572265625,-1054.3736572265625
-1033.90478515625,-1034.8968505859375
-1016.6215209960938,-1017.5217895507812
-1000.5997314453125,-1000.9678344726562
-1043.1290283203125,-1043.1290283203125
-1013.0663452148438,-1019.7156982421875
-1029.7088623046875,-1029.7088623046875
-1009.245361328125,-1009.245361328125
-978.8406982421875,-978.8406982421875
-1001.53173828125,-1001.53173828125
-1007.1319580078125,-1008.80859375
-1020.0064086914062,-1020.0064086914062
-1012.3472900390625,-1012.3472900390625
-1002.2883911132812,-1002.2883911132812
-1106.4010009765625,-1106.4010009765625
-1054.4605712890625,-1054.4605712890625
-1042.8778076171875,-1042.8778076171875
-1055.860595703125,-1056.7994384765625
-1020.17724609375,-1021.9432373046875
-1086.1834716796875,-1093.1593017578125
-1016.2388916015625,-1016.2388916015625
-1040.1209716796875,-1042.6497802734375
-1022.9371948242188,-1022.9371948242188
-1047.871826171875,-1047.871826171875
-1074.6151123046875,-1074.6151123046875
-1053.13623046875,-1053.13623046875
-984.5509033203125,-990.0164794921875
-1050.7412109375,-1051.5977783203125
-1011.1162109375,-1011.1162109375
-1006.09423828125,-1006.09423828125
-1039.6915283203125,-1041.8939208984375
-1024.2056884765625,-1024.5404052734375
-1045.109130859375,-1069.850341796875
-1020.4983520507812,-1020.4983520507812
-978.9492797851562,-978.9492797851562
-1024.55859375,-1024.55859375
-1053.87451171875,-1053.87451171875
-1046.576904296875,-1046.576904296875
-1056.1962890625,-1056.1962890625
-1019.0355224609375,-1021.0914306640625
-1006.33984375,-1006.33984375
-1012.8504638671875,-1013.3011474609375
-1014.1182861328125,-1014.1182861328125
-1029.439453125,-1029.439453125
-1053.134521484375,-1053.134521484375
