N,T,success_rate
10,1000.0,0.0
10,1438.449888287663,0.0
10,2069.13808111479,0.0
10,2976.351441631319,0.0
10,4281.332398719395,0.0
10,6158.48211066026,0.0
10,8858.667904100823,0.0
10,12742.749857031347,0.01
10,18329.807108324374,0.03
10,26366.50898730361,0.04
10,37926.90190732246,0.11
10,54555.947811685146,0.3
10,78475.99703514607,0.41
10,112883.78916846884,0.43
10,162377.67391887208,0.66
10,233572.14690901214,0.54
10,335981.8286283781,0.66
10,483293.0238571752,0.67
10,695192.7961775606,0.68
10,1.0e6,0.77
100,1000.0,0.0
100,1438.449888287663,0.0
100,2069.13808111479,0.0
100,2976.351441631319,0.0
100,4281.332398719395,0.0
100,6158.48211066026,0.0
100,8858.667904100823,0.0
100,12742.749857031347,0.0
100,18329.807108324374,0.0
100,26366.50898730361,0.0
100,37926.90190732246,0.0
100,54555.947811685146,0.0
100,78475.99703514607,0.03
100,112883.78916846884,0.19
100,162377.67391887208,0.34
100,233572.14690901214,0.48
100,335981.8286283781,0.59
100,483293.0238571752,0.67
100,695192.7961775606,0.76
100,1.0e6,0.85
1000,1000.0,0.0
1000,1438.449888287663,0.0
1000,2069.13808111479,0.0
1000,2976.351441631319,0.0
1000,4281.332398719395,0.0
1000,6158.48211066026,0.0
1000,8858.667904100823,0.0
1000,12742.749857031347,0.0
1000,18329.807108324374,0.0
1000,26366.50898730361,0.0
1000,37926.90190732246,0.0
1000,54555.947811685146,0.0
1000,78475.99703514607,0.0
1000,112883.78916846884,0.0
1000,162377.67391887208,0.0
1000,233572.14690901214,0.0
1000,335981.8286283781,0.03
1000,483293.0238571752,0.11
1000,695192.7961775606,0.19
1000,1.0e6,0.27
